debtor_id,name,total_debt,total_paid,phone,city
52,Debtor_52,22672,23245,+13758245299,Los Angeles
53,Debtor_53,20528,21997,+11663063614,Phoenix
54,Debtor_54,24230,16018,+13341617693,Houston
55,Debtor_55,25088,13414,+15606697036,Los Angeles
56,Debtor_56,5489,17490,+16194953641,Phoenix
57,Debtor_57,32746,25093,+14547991832,New York
58,Debtor_58,44468,18804,+15942130313,Phoenix
59,Debtor_59,24930,13125,+11647778886,Houston
60,Debtor_60,30650,15532,+14192912148,Houston
61,Debtor_61,29441,899,+12724095995,New York
62,Debtor_62,7576,20465,+13108072541,Chicago
63,Debtor_63,11273,14640,+12395400996,Chicago
64,Debtor_64,3144,9706,+13285025463,Phoenix
65,Debtor_65,41862,19180,+13714185032,Phoenix
66,Debtor_66,27927,28712,+13452413099,Houston
67,Debtor_67,8393,29705,+11647510368,Los Angeles
68,Debtor_68,24577,15276,+17796952715,Los Angeles
69,Debtor_69,19546,19918,+15230591176,Phoenix
70,Debtor_70,31172,22986,+12881690928,Phoenix
71,Debtor_71,41416,21613,+15628923426,Chicago
72,Debtor_72,4958,26801,+11706059038,Chicago
73,Debtor_73,34506,21274,+18040648889,Chicago
74,Debtor_74,24198,10963,+11253350238,Chicago
75,Debtor_75,37580,23718,+19338856774,Los Angeles
76,Debtor_76,33083,6588,+18643819624,New York
77,Debtor_77,36519,4757,+17529875354,Los Angeles
78,Debtor_78,11029,11176,+12641088823,Chicago
79,Debtor_79,15571,6899,+19825866839,Chicago
80,Debtor_80,49274,14936,+15349240419,Chicago
81,Debtor_81,10671,29691,+12292078681,Houston
82,Debtor_82,30064,5759,+14724570246,Los Angeles
83,Debtor_83,2729,27766,+15779531651,Phoenix
84,Debtor_84,39068,12152,+14144884971,Houston
85,Debtor_85,28428,21421,+11394822486,Los Angeles
86,Debtor_86,24556,22368,+13086982770,Los Angeles
87,Debtor_87,37362,14979,+12465428607,Phoenix
88,Debtor_88,10192,17634,+16693571865,Phoenix
89,Debtor_89,33958,13747,+17611058485,Houston
90,Debtor_90,21551,18665,+13027744962,Houston
91,Debtor_91,48723,18115,+18968228168,Chicago
92,Debtor_92,26062,7202,+13286831984,Chicago
93,Debtor_93,6535,17229,+12980851969,Phoenix
94,Debtor_94,34611,23663,+11874513580,Los Angeles
95,Debtor_95,10578,24853,+14189088913,New York
96,Debtor_96,37687,26814,+11248017019,Houston
97,Debtor_97,7131,23367,+19968701370,Phoenix
98,Debtor_98,33274,26008,+17487554582,Houston
99,Debtor_99,7002,4929,+19623000876,Phoenix
100,Debtor_100,16929,9493,+16464990917,New York
101,Debtor_101,36937,20877,+18969493908,Los Angeles
102,Debtor_102,18458,19604,+19470236953,Chicago
103,Debtor_103,10617,18725,+11948426380,New York
104,Debtor_104,37335,12349,+11616981571,Chicago
105,Debtor_105,3718,23921,+18865143504,Phoenix
106,Debtor_106,1634,20594,+15003187116,Los Angeles
107,Debtor_107,14204,16622,+18648076553,Houston
108,Debtor_108,41595,21635,+13968270741,Phoenix
109,Debtor_109,34953,4955,+13777240546,New York
110,Debtor_110,39140,543,+17585506863,Houston
111,Debtor_111,13392,23290,+13896625018,Chicago
112,Debtor_112,44606,28419,+11410897812,Chicago
113,Debtor_113,7891,3120,+15363152671,Houston
114,Debtor_114,1677,19931,+17532868385,Los Angeles
115,Debtor_115,37628,29034,+13055250613,Chicago
116,Debtor_116,46463,11330,+18687686912,Houston
117,Debtor_117,35504,23272,+19289081989,Houston
118,Debtor_118,34953,26641,+14767401499,Phoenix
119,Debtor_119,32702,982,+16697090266,Phoenix
120,Debtor_120,34356,28301,+11124380865,Phoenix
121,Debtor_121,6741,8314,+14911764495,Chicago
122,Debtor_122,23459,26835,+14433473802,Phoenix
123,Debtor_123,16486,3214,+18292324579,Phoenix
124,Debtor_124,45982,14389,+14657886190,New York
125,Debtor_125,42256,18954,+14287481943,Houston
126,Debtor_126,38697,25900,+11952683523,Phoenix
127,Debtor_127,28150,19963,+19871655964,Phoenix
128,Debtor_128,39183,21993,+13035082264,New York
129,Debtor_129,26653,10140,+16833335832,Chicago
130,Debtor_130,39505,20298,+17610399913,Phoenix
131,Debtor_131,43930,12091,+16236440434,Los Angeles
132,Debtor_132,5665,9908,+15007331227,Phoenix
133,Debtor_133,26588,25507,+11193730233,Chicago
134,Debtor_134,11252,13973,+18095766529,Los Angeles
135,Debtor_135,1212,18435,+13241237032,Houston
136,Debtor_136,8187,14868,+13090914865,Chicago
137,Debtor_137,16451,21870,+18053652314,Phoenix
138,Debtor_138,32806,20334,+14380072110,Phoenix
139,Debtor_139,7908,13514,+17756187175,Chicago
140,Debtor_140,11516,20219,+11092025574,Chicago
141,Debtor_141,39818,18572,+19452460896,Los Angeles
142,Debtor_142,9897,15432,+11642014205,Phoenix
143,Debtor_143,18833,19780,+18080480411,Chicago
144,Debtor_144,19780,19787,+18647943434,Chicago
145,Debtor_145,29748,19291,+19599274988,Houston
146,Debtor_146,28801,23206,+11333735040,New York
147,Debtor_147,12411,12807,+14740039805,Los Angeles
148,Debtor_148,45915,29558,+19261676840,Phoenix
149,Debtor_149,4459,12806,+18087269929,Phoenix
150,Debtor_150,13919,21232,+19771379732,Los Angeles
151,Debtor_151,40842,736,+19697181873,Chicago
152,Debtor_152,25047,17164,+17401459273,Houston
153,Debtor_153,44619,20658,+16525569081,New York
154,Debtor_154,1705,11091,+17782594708,Phoenix
155,Debtor_155,4372,6141,+18430292370,Houston
156,Debtor_156,11147,15330,+12357349414,Houston
157,Debtor_157,39988,22624,+14740740467,Los Angeles
158,Debtor_158,2178,4379,+11565272687,New York
159,Debtor_159,37291,13952,+15752524777,New York
160,Debtor_160,28791,25570,+12060849432,Houston
161,Debtor_161,24517,18201,+16293022618,Phoenix
162,Debtor_162,24525,29472,+18823825409,Chicago
163,Debtor_163,27208,15629,+16039552274,New York
164,Debtor_164,42121,20231,+19219569493,Los Angeles
165,Debtor_165,41607,12761,+17554435661,New York
166,Debtor_166,43235,11326,+17161898623,Los Angeles
167,Debtor_167,11819,19342,+19777958289,Phoenix
168,Debtor_168,17404,10769,+15453318509,Chicago
169,Debtor_169,32964,26571,+14832464912,New York
170,Debtor_170,24511,27558,+12994892296,Los Angeles
171,Debtor_171,49776,5783,+12774925067,Los Angeles
172,Debtor_172,31553,18222,+14383569443,Houston
173,Debtor_173,10641,8274,+18005664735,Chicago
174,Debtor_174,23595,23140,+18500293163,Phoenix
175,Debtor_175,18089,21431,+18298092547,Phoenix
176,Debtor_176,20861,8282,+18425667859,Chicago
177,Debtor_177,17864,9856,+18345313882,Phoenix
178,Debtor_178,12325,18844,+13454898884,Los Angeles
179,Debtor_179,9583,1457,+17951868027,Los Angeles
180,Debtor_180,49519,28757,+18141366273,Houston
181,Debtor_181,34018,21704,+15174308370,Los Angeles
182,Debtor_182,14792,23217,+18707368705,Phoenix
183,Debtor_183,34988,27819,+11961300129,Houston
184,Debtor_184,15386,16121,+12403458403,Los Angeles
185,Debtor_185,2801,16186,+17529815932,Phoenix
186,Debtor_186,22444,17807,+13152094334,Phoenix
187,Debtor_187,5853,24075,+19864923250,Los Angeles
188,Debtor_188,32410,6577,+13076619337,Los Angeles
189,Debtor_189,44801,21266,+11326187719,Chicago
190,Debtor_190,14542,1817,+16700143577,Chicago
191,Debtor_191,23791,20914,+13734975807,New York
192,Debtor_192,45363,13469,+18300432095,Phoenix
193,Debtor_193,17099,28015,+13618666454,Phoenix
194,Debtor_194,8607,11081,+18793120981,Houston
195,Debtor_195,5676,14668,+11919081217,Chicago
196,Debtor_196,49507,8959,+18813180332,New York
197,Debtor_197,35282,5839,+17459708941,Chicago
198,Debtor_198,13222,27184,+16068238143,Chicago
199,Debtor_199,7230,8791,+14631229711,Chicago
200,Debtor_200,27623,8870,+13789829553,Chicago
201,Debtor_201,29057,27400,+19360532756,Chicago
202,Debtor_202,18529,29227,+12237643112,New York
203,Debtor_203,32503,25930,+13457386677,Phoenix
204,Debtor_204,4180,23283,+14635803163,Chicago
205,Debtor_205,40853,6917,+19938714883,Houston
206,Debtor_206,7964,5184,+19930490814,Chicago
207,Debtor_207,21478,8417,+14861809063,New York
208,Debtor_208,41626,1465,+16098123641,Chicago
209,Debtor_209,46827,29852,+11661945290,Los Angeles
210,Debtor_210,26499,11841,+15591021345,New York
211,Debtor_211,9180,24953,+14403596768,Chicago
212,Debtor_212,27987,1535,+13860906800,Phoenix
213,Debtor_213,7924,25545,+13325347256,Los Angeles
214,Debtor_214,19478,25798,+14736190425,New York
215,Debtor_215,7410,5375,+18609107502,New York
216,Debtor_216,44086,5677,+17880655314,Phoenix
217,Debtor_217,5757,6277,+13076071170,Chicago
218,Debtor_218,12850,9863,+18676425100,Los Angeles
219,Debtor_219,1081,17481,+19046667538,Los Angeles
220,Debtor_220,22185,4228,+11236445160,Chicago
221,Debtor_221,2528,6774,+14745679474,Los Angeles
222,Debtor_222,25055,11575,+15469431281,New York
223,Debtor_223,35152,28318,+11463014025,Chicago
224,Debtor_224,16308,25608,+16958469961,Los Angeles
225,Debtor_225,41670,29124,+19771306480,New York
226,Debtor_226,25083,8778,+14696702713,Phoenix
227,Debtor_227,13091,28461,+18924813480,New York
228,Debtor_228,10650,13398,+12916377033,Houston
229,Debtor_229,14686,18421,+11606223418,Chicago
230,Debtor_230,19432,6295,+19015753595,Houston
231,Debtor_231,15896,6517,+15862371226,Chicago
232,Debtor_232,39047,24465,+15156576496,Los Angeles
233,Debtor_233,27716,23378,+11960108814,Chicago
234,Debtor_234,37989,24911,+17642406789,New York
235,Debtor_235,40465,6340,+17758437921,New York
236,Debtor_236,37987,17826,+12537390892,Los Angeles
237,Debtor_237,10596,18831,+16919537170,Houston
238,Debtor_238,23355,23281,+18596222249,Los Angeles
239,Debtor_239,2823,22083,+19372968522,Phoenix
240,Debtor_240,36345,7887,+18377803496,Phoenix
241,Debtor_241,39484,12532,+19383036944,Phoenix
242,Debtor_242,23996,6582,+13744347567,Chicago
243,Debtor_243,16674,3964,+18151457258,Houston
244,Debtor_244,30733,1102,+11499600223,Phoenix
245,Debtor_245,33365,11182,+14042064678,Phoenix
246,Debtor_246,44991,8299,+12889517307,Chicago
247,Debtor_247,23798,14546,+16500749260,Los Angeles
248,Debtor_248,9114,12773,+11263522551,New York
249,Debtor_249,45630,14459,+14579799228,New York
250,Debtor_250,12053,22590,+15642155529,Chicago
251,Debtor_251,20832,1883,+11909859823,Los Angeles
252,Debtor_252,40492,7640,+16360947817,Houston
253,Debtor_253,47696,2832,+13949447787,Houston
254,Debtor_254,16890,25891,+19139084426,Houston
255,Debtor_255,47918,25853,+14790014672,Houston
256,Debtor_256,19782,8273,+16575454889,Chicago
257,Debtor_257,37407,26734,+15071453627,New York
258,Debtor_258,31379,22426,+14230162045,Houston
259,Debtor_259,48892,25635,+16790838681,Chicago
260,Debtor_260,24736,26516,+14280781964,Houston
261,Debtor_261,41845,10282,+17412825125,Chicago
262,Debtor_262,41111,29280,+16888250584,Los Angeles
263,Debtor_263,18706,13365,+16544876711,Chicago
264,Debtor_264,46563,26922,+15609117377,New York
265,Debtor_265,13989,10018,+15888604826,Chicago
266,Debtor_266,21303,28932,+16672923089,Phoenix
267,Debtor_267,6386,6667,+16047585349,Houston
268,Debtor_268,5455,3940,+15973569254,Phoenix
269,Debtor_269,27980,8100,+15816018291,Los Angeles
270,Debtor_270,4611,27090,+13248210012,Los Angeles
271,Debtor_271,14425,17620,+19915352245,Houston
272,Debtor_272,20354,20321,+11589648265,Phoenix
273,Debtor_273,48766,2617,+19111031102,Phoenix
274,Debtor_274,17107,8658,+15797819871,Los Angeles
275,Debtor_275,1667,4778,+17356358202,Houston
276,Debtor_276,22325,3486,+14326784126,Chicago
277,Debtor_277,30613,5193,+16175484459,New York
278,Debtor_278,4953,11253,+13406210849,New York
279,Debtor_279,25115,8849,+19204430258,Houston
280,Debtor_280,7274,4140,+15023581331,Phoenix
281,Debtor_281,31681,18430,+12481154615,Chicago
282,Debtor_282,12408,21746,+16586883044,Los Angeles
283,Debtor_283,47507,13781,+14044898211,Chicago
284,Debtor_284,46596,14415,+18445895764,New York
285,Debtor_285,26019,20193,+12790267216,Chicago
286,Debtor_286,45051,18039,+13776483669,Chicago
287,Debtor_287,15171,9019,+13065259204,Los Angeles
288,Debtor_288,1077,16051,+16456208424,Phoenix
289,Debtor_289,5602,27982,+13295814525,Chicago
290,Debtor_290,10856,29052,+17535135715,Houston
291,Debtor_291,17104,13135,+15067540799,Houston
292,Debtor_292,34560,29413,+11062693127,Phoenix
293,Debtor_293,7850,24885,+19462369865,Phoenix
294,Debtor_294,18132,16072,+16942065489,Phoenix
295,Debtor_295,23532,13085,+18164025686,Chicago
296,Debtor_296,28094,9509,+12945616188,Houston
297,Debtor_297,14417,13220,+16589678405,Phoenix
298,Debtor_298,19603,136,+13831411344,New York
299,Debtor_299,21270,23343,+17353703061,Houston
300,Debtor_300,47707,14329,+12207992216,Houston
301,Debtor_301,15075,26406,+13621580363,New York
302,Debtor_302,9131,16103,+19663456909,Los Angeles
303,Debtor_303,27811,3975,+12928550701,New York
304,Debtor_304,49889,16113,+16999673078,New York
305,Debtor_305,25601,17594,+13067058541,Houston
306,Debtor_306,41135,22688,+11512108730,Houston
307,Debtor_307,21313,20955,+12396460645,New York
308,Debtor_308,25532,24865,+16642886358,Houston
309,Debtor_309,20975,19294,+17241598752,Los Angeles
310,Debtor_310,22284,24975,+19570328725,Chicago
311,Debtor_311,45848,11060,+19059737707,Houston
312,Debtor_312,6750,7809,+18884636632,Houston
313,Debtor_313,19597,26071,+17103702637,New York
314,Debtor_314,7783,18155,+17148479754,New York
315,Debtor_315,49160,14727,+16754645016,Chicago
316,Debtor_316,42359,23189,+11454444653,New York
317,Debtor_317,11922,26868,+13823195938,New York
318,Debtor_318,26500,14888,+13667717744,Houston
319,Debtor_319,36378,1240,+17412480644,New York
320,Debtor_320,3606,4779,+17684874925,Phoenix
321,Debtor_321,3760,26568,+15189526394,Chicago
322,Debtor_322,11776,15145,+12290599135,New York
323,Debtor_323,39942,2763,+15639652068,Los Angeles
324,Debtor_324,43109,26969,+13652564305,Houston
325,Debtor_325,19946,173,+15953684454,Chicago
326,Debtor_326,8287,7679,+16638773254,Los Angeles
327,Debtor_327,33865,25753,+13645534864,Houston
328,Debtor_328,49804,27531,+19186751311,Phoenix
329,Debtor_329,8521,10987,+17751566905,Phoenix
330,Debtor_330,34832,9811,+17785472113,Houston
331,Debtor_331,18803,20363,+17847187135,New York
332,Debtor_332,2543,27503,+11987442825,Phoenix
333,Debtor_333,10801,9680,+18152657489,Houston
334,Debtor_334,43502,16759,+17191134052,Los Angeles
335,Debtor_335,17102,21613,+14349897470,Los Angeles
336,Debtor_336,27084,24600,+18271697824,Phoenix
337,Debtor_337,48744,28620,+12604459290,Chicago
338,Debtor_338,1689,22157,+13516132387,Phoenix
339,Debtor_339,42274,4736,+18870389369,New York
340,Debtor_340,12771,11527,+15863172753,Los Angeles
341,Debtor_341,34882,9879,+13524166694,New York
342,Debtor_342,46175,20159,+18254135961,Chicago
343,Debtor_343,41531,8524,+18462587967,Chicago
344,Debtor_344,27822,1004,+14443790796,Los Angeles
345,Debtor_345,24562,24453,+12303899713,Phoenix
346,Debtor_346,39922,25423,+17256625669,Houston
347,Debtor_347,49647,25280,+16170027013,New York
348,Debtor_348,42966,6736,+16261820973,Chicago
349,Debtor_349,47512,27744,+16906088705,New York
350,Debtor_350,12844,12537,+17406699393,Houston
351,Debtor_351,36917,4395,+18691398407,Phoenix
352,Debtor_352,24380,10000,+17450305178,Phoenix
353,Debtor_353,33595,17709,+12924448548,New York
354,Debtor_354,17343,9345,+15440250181,Los Angeles
355,Debtor_355,17932,27960,+12849594392,Los Angeles
356,Debtor_356,34499,2604,+16179621477,Houston
357,Debtor_357,33024,6357,+19148671044,Phoenix
358,Debtor_358,30892,17369,+19143588450,Los Angeles
359,Debtor_359,14998,10852,+13342850401,Los Angeles
360,Debtor_360,7667,13808,+19584574164,Houston
361,Debtor_361,17759,16373,+13574518018,Los Angeles
362,Debtor_362,2256,19043,+16687269198,Chicago
363,Debtor_363,38511,20443,+11773326960,New York
364,Debtor_364,2886,23435,+13930285591,New York
365,Debtor_365,27625,13081,+13667054919,Phoenix
366,Debtor_366,35969,24043,+19495064306,Houston
367,Debtor_367,13807,19388,+19971138690,Chicago
368,Debtor_368,47077,16549,+12062962810,Los Angeles
369,Debtor_369,8374,29589,+14355408608,Phoenix
370,Debtor_370,42351,2546,+16535054462,Los Angeles
371,Debtor_371,38556,1305,+16973050073,Los Angeles
372,Debtor_372,12412,29717,+19401839879,Phoenix
373,Debtor_373,42195,6509,+13508751163,Phoenix
374,Debtor_374,10845,3516,+16965641834,Chicago
375,Debtor_375,41212,20035,+11002795628,New York
376,Debtor_376,30097,9777,+18059484634,Houston
377,Debtor_377,20828,7711,+17456977671,New York
378,Debtor_378,4166,14834,+19235290226,Phoenix
379,Debtor_379,31447,29066,+18108371894,Phoenix
380,Debtor_380,26763,29158,+12654821816,Houston
381,Debtor_381,29429,29864,+18988090638,Phoenix
382,Debtor_382,49021,1571,+13317989589,Houston
383,Debtor_383,32318,25644,+15206303637,Houston
384,Debtor_384,6326,11717,+12121935885,New York
385,Debtor_385,5435,21363,+17119578152,New York
386,Debtor_386,18987,28737,+12069270372,New York
387,Debtor_387,34988,3869,+15796822929,Phoenix
388,Debtor_388,14115,26374,+13592231470,New York
389,Debtor_389,33742,8391,+11297697229,New York
390,Debtor_390,17661,10255,+19315704160,Chicago
391,Debtor_391,14553,11704,+12973941959,New York
392,Debtor_392,34397,25057,+17070612183,Los Angeles
393,Debtor_393,9937,17766,+16021144201,Phoenix
394,Debtor_394,30645,15047,+12279473748,Chicago
395,Debtor_395,19758,8394,+13753815645,New York
396,Debtor_396,47510,18762,+16893388292,Los Angeles
397,Debtor_397,18155,8640,+17075351262,New York
398,Debtor_398,25253,20567,+13553513999,New York
399,Debtor_399,28309,7346,+15078133018,New York
400,Debtor_400,32050,4368,+19810610134,Phoenix
401,Debtor_401,9580,26663,+19690222216,New York
402,Debtor_402,42167,26710,+18917767670,Los Angeles
403,Debtor_403,23477,29935,+16954770852,New York
404,Debtor_404,16886,1909,+18761153485,Phoenix
405,Debtor_405,30411,17644,+13607270496,Los Angeles
406,Debtor_406,45279,17002,+12175717258,Los Angeles
407,Debtor_407,38540,23479,+16806913363,Phoenix
408,Debtor_408,47946,22573,+18768102791,Los Angeles
409,Debtor_409,40214,29714,+16804296341,Chicago
410,Debtor_410,6194,13488,+11607011184,Chicago
411,Debtor_411,38925,24995,+13315147890,Los Angeles
412,Debtor_412,40600,27705,+18247332539,Chicago
413,Debtor_413,7915,7182,+11478610657,Chicago
414,Debtor_414,45718,20204,+19397408097,Chicago
415,Debtor_415,34932,17151,+17609095394,Chicago
416,Debtor_416,11131,19506,+15470943954,New York
417,Debtor_417,8769,26490,+16175475256,New York
418,Debtor_418,42834,6096,+13633607652,New York
419,Debtor_419,7000,10722,+14292102351,Houston
420,Debtor_420,25042,27586,+12595763153,Houston
421,Debtor_421,37537,2012,+18247999275,New York
422,Debtor_422,17330,4778,+18576043052,Houston
423,Debtor_423,46571,15893,+18281818162,Houston
424,Debtor_424,44196,19372,+16125007181,New York
425,Debtor_425,34281,22447,+16454663645,New York
426,Debtor_426,14476,9684,+13615040199,Los Angeles
427,Debtor_427,8179,14534,+11496443011,Chicago
428,Debtor_428,1532,1852,+16120423905,New York
429,Debtor_429,4530,5989,+17423964285,Houston
430,Debtor_430,29559,8306,+19244819894,Los Angeles
431,Debtor_431,39185,20557,+12438761292,Chicago
432,Debtor_432,6051,300,+15209643949,Houston
433,Debtor_433,17311,22317,+18489946962,Phoenix
434,Debtor_434,47210,17271,+17334151021,Los Angeles
435,Debtor_435,25616,23332,+17594285368,Los Angeles
436,Debtor_436,4639,3135,+11090384133,Los Angeles
437,Debtor_437,13853,27578,+16630385182,Los Angeles
438,Debtor_438,26901,7351,+19065287018,Phoenix
439,Debtor_439,22957,3358,+15981404557,New York
440,Debtor_440,45887,17680,+13351889386,New York
441,Debtor_441,19793,28247,+16497129890,Phoenix
442,Debtor_442,24068,27701,+12693470165,Phoenix
443,Debtor_443,47501,16485,+18821318155,Phoenix
444,Debtor_444,20002,18640,+13237664750,Houston
445,Debtor_445,44971,1651,+18973933827,New York
446,Debtor_446,43604,29043,+18796586976,New York
447,Debtor_447,8027,3544,+14731985696,Chicago
448,Debtor_448,10273,3560,+16840772739,Chicago
449,Debtor_449,9242,27252,+11096114206,Houston
450,Debtor_450,31178,15671,+16147379209,Phoenix
451,Debtor_451,26783,24674,+17909170991,Phoenix
452,Debtor_452,1999,19207,+13636987023,Phoenix
453,Debtor_453,35301,29649,+17535835186,Phoenix
454,Debtor_454,6817,11780,+15771453245,Phoenix
455,Debtor_455,38977,15247,+19013966293,Chicago
456,Debtor_456,3531,17018,+11525234926,Phoenix
457,Debtor_457,27474,20273,+11440413332,Chicago
458,Debtor_458,4684,8576,+15410746461,New York
459,Debtor_459,45469,12891,+17905722187,Phoenix
460,Debtor_460,15274,18075,+19020899447,Phoenix
461,Debtor_461,2874,24477,+11943345783,Chicago
462,Debtor_462,33084,6645,+15928602194,Los Angeles
463,Debtor_463,42301,13861,+13151812707,Chicago
464,Debtor_464,3108,26216,+14331564687,Los Angeles
465,Debtor_465,13845,3606,+13185713548,Los Angeles
466,Debtor_466,16925,17473,+12934887877,Chicago
467,Debtor_467,46189,23307,+14022758179,Houston
468,Debtor_468,11454,8199,+13828580305,Phoenix
469,Debtor_469,27663,26596,+18259900708,Phoenix
470,Debtor_470,37772,14688,+18134015563,Chicago
471,Debtor_471,10296,20649,+18148263768,Chicago
472,Debtor_472,29860,7949,+14088218699,Phoenix
473,Debtor_473,30079,14980,+12268046883,Houston
474,Debtor_474,2489,171,+12126299756,New York
475,Debtor_475,10956,13733,+14681387534,New York
476,Debtor_476,22769,6177,+12325332091,New York
477,Debtor_477,47698,4056,+15897443723,Chicago
478,Debtor_478,42171,23642,+15329182748,Houston
479,Debtor_479,29940,11382,+11229096806,Los Angeles
480,Debtor_480,47808,8426,+16312063787,New York
481,Debtor_481,11056,12153,+15378711549,Los Angeles
482,Debtor_482,24369,2399,+16160299575,New York
483,Debtor_483,49503,28355,+19430455476,Houston
484,Debtor_484,6543,7936,+15390980888,Phoenix
485,Debtor_485,27477,9810,+12669273839,Phoenix
486,Debtor_486,27704,16703,+16169647108,Houston
487,Debtor_487,37922,3357,+14572273458,Houston
488,Debtor_488,33503,27060,+19689428455,Phoenix
489,Debtor_489,34519,13652,+16529871959,New York
490,Debtor_490,24942,26588,+12479535228,Los Angeles
491,Debtor_491,43974,12451,+19715277384,Chicago
492,Debtor_492,5332,27005,+15125910444,New York
493,Debtor_493,20574,13199,+19949349845,Los Angeles
494,Debtor_494,30221,16413,+18624998527,Phoenix
495,Debtor_495,11825,14366,+14088041433,Los Angeles
496,Debtor_496,49669,196,+15997371226,Chicago
497,Debtor_497,1545,5185,+17042146096,Los Angeles
498,Debtor_498,1834,10059,+19250038471,Chicago
499,Debtor_499,47602,13468,+14247171589,Houston
500,Debtor_500,4722,23951,+15453230748,Chicago
